Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
2008,2,14,2,7,46.7,,,RWANDA:  GISENYI,-2.404,28.918,10,4.9,,1,1,,,109,3,,1,,,5,1,1,1,,,109,3,,1,,,5,1,Rwanda,Africa,SM
2019,2,22,10,18,17,,,"ECUADOR: AZUAY, MANABI, MORONA SANT.; PERU",-2.186,-77.051,145,7.5,,1,1,,,9,1,,2,5,1,75,1,1,1,,,9,1,,2,5,1,75,1,Ecuador,South America,ND
2016,6,1,22,56,8,,,INDONESIA:  SUMATRA:  PESISIR SELATAN,-2.097,100.665,50,6.6,5,1,1,,,30,1,,2,,,2663,4,1,1,,,30,1,,2,,,2663,4,Indonesia,Asia,CP
1998,11,29,14,10,31.9,2588,,"INDONESIA:  MANGOLE, MANADO, TALIABU",-2.071,124.891,33,7.7,7,41,1,,,107,3,200,4,1000,3,,,41,1,,,107,3,200,4,1000,3,,,Indonesia,Asia,BS
1995,10,6,18,9,45.9,,,"INDONESIA:  SUMATERA, JAMBI PROVINCE",-2.045,101.436,33,6.8,,84,2,,,1868,4,,4,17600,4,,,84,2,,,1868,4,,4,17600,4,,,Indonesia,Asia,CP
1980,8,18,15,7,52.6,,,"ECUADOR:  W, GUAYAQUIL",-1.948,-80.017,55,5.6,,8,1,,,100,2,5,2,,,,,8,1,,,100,2,5,2,,,,,Ecuador,South America,ND
2002,10,10,10,50,20.5,2400,,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",-1.757,134.297,10,7.6,,8,1,,,632,3,,3,1000,3,900,3,8,1,,,632,3,,3,1000,3,900,3,Indonesia,Asia,BH
1966,3,20,1,42,53.7,,,"UGANDA: KICHWAMBA, BONDIBOGYO;  TANZANIA;  DR CONGO",0.622,29.863,29,6.6,7,157,3,,,1300,4,1.5,2,,3,,,157,3,,,1300,3,1.5,2,,3,,,Uganda,Africa,SM
2012,8,18,9,41,52.4,,,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",-1.315,120.096,10,6.3,,6,1,,,43,1,,4,471,3,1097,4,6,1,,,43,1,,4,471,3,1097,4,Indonesia,Asia,BS
1994,10,8,21,44,7.2,2231,,INDONESIA:  HALMAHERA,-1.258,127.98,17,6.8,,1,1,,,52,2,,2,,,500,3,1,1,,,52,2,,2,,,500,3,Indonesia,Asia,BH
